node_id,x,y
725,967200.89603785,27293124.821102
726,967203.8688465,27293123.093298
727,967206.84165515,27293121.365494
728,967179.91126228,27293140.354471
729,967182.89327513,27293138.632296
730,967185.87528797,27293136.910121
731,967188.85730081,27293135.187945
732,967191.83931366,27293133.46577
733,967194.8213265,27293131.743595
734,967197.80333934,27293130.021419
735,967200.78535218,27293128.299244
736,967203.76736503,27293126.577069
737,967206.74937787,27293124.854893
738,967209.73139071,27293123.132718
739,967182.70882612,27293142.065328
740,967185.70006912,27293140.348797
741,967188.69131211,27293138.632266
742,967191.6825551,27293136.915736
743,967194.6737981,27293135.199205
744,967197.66504109,27293133.482674
745,967200.65628408,27293131.766144
746,967203.64752708,27293130.049613
747,967206.63877007,27293128.333083
748,967209.63001306,27293126.616552
749,967212.62125606,27293124.900021
750,967185.50625963,27293143.776104
751,967188.50675884,27293142.065234
752,967191.50725805,27293140.354364
753,967194.50775726,27293138.643494
754,967197.50825647,27293136.932624
755,967200.50875568,27293135.221754
756,967203.50925489,27293133.510884
757,967206.5097541,27293131.800014
758,967209.51025331,27293130.089144
759,967212.51075252,27293128.378274
760,967215.51125173,27293126.667404
761,971584.38,27292132.21
762,971588.07792435,27292222.889597
763,971667.318616227,27292219.626397844
764,971746.5593081136,27292216.363198925
765,971825.8,27292213.1
766,971824.38889705,27292125.289835
767,971744.3859313668,27292127.59655667
768,971664.3829656835,27292129.903278336
769,971548.75714741,27292134.022916
770,971552.18631329,27292224.367644
771,971416.77,27292140.74
772,971422.7,27292229.7
773,971487.4431566403,27292227.033821885
774,971482.7635737174,27292137.381458245
775,971412.71994063,27292110.445853
776,971544.7,27292116.7
777,971478.7188680207,27292113.563474648
778,971281.8213101,27292169.795924
779,971297.59600533,27292257.607609
780,971360.148002661,27292243.65380448
781,971349.2956550965,27292155.267962214
782,971277.35623917,27292144.175394
783,971343.5381864285,27292121.032350387
784,971175.79019661,27292192.625579
785,971193.4526408,27292280.839419
786,971245.5243231078,27292269.22351419
787,971228.8057534402,27292181.210751895
788,971170.97177677,27292172.793334
789,971224.594186893,27292160.08169218
790,970940.9,27292243.2
791,970953.8,27292334.3
792,971013.7131602234,27292320.934854854
793,971073.6263204457,27292307.569709703
794,971133.5394806694,27292294.20456456
795,971097.4934644579,27292209.48371957
796,971019.1967322298,27292226.341859788
797,970922.27122544,27292156.310958
798,971108.7408122666,27292178.483927958
799,971046.497672412,27292172.020970482
800,970984.5945549553,27292162.554855842
801,970727.84,27292263.6
802,970738.10030987,27292351.121703
803,970810.0002065902,27292345.514468797
804,970881.9001032952,27292339.9072344
805,970869.8800000004,27292250.000000004
806,970798.8600000003,27292256.800000004
807,970585.8,27292277.2
808,970596.80753076,27292362.140658
809,970667.4539203332,27292356.631180733
810,970656.8200000002,27292270.400000002
811,970574.33130701,27292194.908999
812,970852.9101691055,27292161.653275378
813,970783.5246010303,27292171.104256973
814,970713.7935030359,27292179.03917109
815,970644.0624050415,27292186.974085208
816,970006.9,27292459.6
817,970056.4300350328,27292500.080981493
818,970117.1537975447,27292520.051666006
819,970181.1767724755,27292519.338446695
820,970244.5798272548,27292509.140888415
821,970306.9901492746,27292493.891816933
822,970369.2678089367,27292478.111329097
823,970430.83096968,27292459.750801
824,970488.1240151069,27292447.459893893
825,970545.4170605427,27292435.168986827
826,970602.71010603,27292422.87808
827,970537.8167777228,27292371.886592433
828,970478.8260246424,27292381.632526606
829,970419.8352715621,27292391.378460784
830,970360.8445184819,27292401.124394957
831,970301.8537654015,27292410.87032913
832,970242.8630123212,27292420.616263304
833,970183.872259241,27292430.362197477
834,970124.8815061606,27292440.108131655
835,970065.8907530804,27292449.854065828
836,969989.7,27292361.0
837,969998.3,27292410.3
838,970526.1900000004,27292285.580000002
839,970466.5800000002,27292293.96
840,970406.9700000003,27292302.34
841,970347.3600000005,27292310.720000003
842,970287.7500000002,27292319.1
843,970228.1400000001,27292327.48
844,970168.5300000001,27292335.86
845,970108.9200000003,27292344.240000002
846,970049.3100000002,27292352.62
847,969984.2,27292326.9
848,970513.658274577,27292189.992354307
849,970452.8419158326,27292187.314564433
850,970392.5777156557,27292196.476973757
851,970333.5962566223,27292212.95189114
852,970275.3635471851,27292231.943242617
853,970217.130837749,27292250.934594095
854,970158.8981283117,27292269.925945573
855,970100.6654188745,27292288.917297047
856,970042.4327094383,27292307.908648524
857,970388.7272361722,27292252.74443208
